Image_Name	Sprite_X	Sprite_Y
The Battle of San Romano - Uccello.jpg	0	0
The Last Supper - Leonardo da Vinci.jpg	1	0
The Transfiguration - Raphael.jpg	2	0
Raphael's School of Athens.jpg	3	0
Moses (for the tomb of Pope Julius II) - Michelangelo.jpg	4	0
Portrait of Eleonora of Toledo - Bronzino.jpg	0	1
The Deposition from the Cross - Pontormo.jpg	1	1
The Last Judgment (Sistine Chapel Altar Wall) - Michelangelo.jpg	2	1
The Birth of Venus - Botticelli.jpg	3	1
The Sistine Chapel Ceiling.jpg	4	1
Titian's Venus of Urbino.jpg	0	2
Self-Portrait at 28 - DÃ¼rer.jpg	1	2
The Baptism of Christ - Francesca.jpg	2	2
Allegory with Venus and Cupid - Bronzino.jpg	3	2
The Garden of Earthly Delights - Bosch.jpg	4	2
David - Michelangelo.jpg	0	3
Joseph in Egypt - Pontormo.jpg	1	3
Perseus with the Head of Medusa - Cellini.jpg	2	3
Salt Cellar of Francis I - Cellini.jpg	3	3
Mona Lisa - da Vinci.jpg	4	3
